ID,LONISID,RID
49356,6160,1093
49354,6159,953
49290,65826,996
49288,65990,505
49292,65987,886
38600,65969,285
45955,65986,611
49294,66128,727
49296,65991,449
49298,13423,559
49300,14440,816
49302,14442,816
49304,13184,1280
49306,3991,422
49282,66004,1408
49278,65933,1043
49280,65932,1406
49274,66007,528
49276,66003,863
49272,65998,72
49266,65815,709
49264,65812,606
49262,65709,1330
49260,65706,531
49258,65814,1256
49256,65817,1079
49254,65677,389
49252,65699,43
49250,65704,1092
49248,65703,769
49246,65807,862
49244,65809,751
49308,18308,21
49310,17849,856
49312,23765,575
49314,17230,1092
49316,13245,1288
49320,17805,830
49322,7239,677
49350,5247,893
49344,5400,964
49342,6046,652
39958,10079,1092
39960,10091,354
39962,10120,1419
39964,10137,546
39966,10272,680
39968,10273,631
39970,10276,78
39972,10280,359
39974,10282,1028
39976,10284,1121
39978,10286,708
39980,10288,1121
39982,10296,629
39984,10314,539
39986,10316,101
39988,10334,525
39990,10336,1209
39992,10339,648
39994,10342,1209
39996,10347,1088
39998,10359,1185
40000,10369,712
40002,10371,1408
40004,10372,1212
40006,10373,750
40008,10377,1212
40010,10379,689
40012,10381,689
40014,10383,572
40016,10385,1418
40018,10407,1170
40020,10414,525
40022,10416,606
40024,10418,1113
40026,10424,658
40028,10426,618
40030,10443,112
40032,10446,1114
40034,10462,682
40036,10464,1170
40038,10466,1175
40040,10472,1138
40042,10475,690
40044,10479,672
40046,10483,87
40048,10484,78
40050,10488,1133
40052,10490,606
40054,10495,746
40056,10498,1205
40058,10499,1247
40060,10502,1123
40062,10504,1232
40064,10506,1232
40066,10508,1131
40068,10510,553
40070,10512,715
40072,10515,685
40074,10516,1414
40076,10518,647
40078,10519,1094
40080,10522,433
40082,10524,116
40084,10528,890
40086,10530,559
40088,10531,572
40090,10534,1423
40092,10541,1152
40094,10548,1425
40096,10549,141
40098,10553,1247
40100,10556,1186
40102,10557,217
40104,10560,566
40106,10562,739
40108,10568,626
40110,10570,1340
40112,10571,991
40114,10572,443
40116,10579,770
40118,10580,4
40120,10583,1023
40122,10584,1185
40124,10587,730
40126,10591,602
40128,10593,602
40130,10604,142
40132,10606,610
40134,10611,723
40136,10613,1119
40138,10615,724
40140,10616,752
40142,10618,649
40144,10620,1221
40146,10624,332
40148,10625,1138
40150,10628,1117
40152,10632,1144
40154,10634,1201
40156,10636,741
40158,10642,1289
40160,10645,1289
40162,10647,1187
40164,10648,1123
40166,10652,108
40168,10654,1254
40170,10656,679
40172,10657,725
40174,10659,126
40176,10663,733
40178,10667,733
40180,10669,565
40182,10671,725
40184,10673,607
40186,10676,607
40188,10679,332
40190,10680,30
40192,10681,31
40194,10682,31
40196,10683,61
40198,10684,139
40200,10685,331
40202,10686,388
40204,10687,604
40206,10689,734
40208,10690,257
40210,10700,1224
40212,10702,698
40214,10704,369
40216,10723,709
40218,10754,307
40220,10756,479
40222,10758,725
40224,10776,733
40226,10777,303
40228,10779,501
40230,10781,190
40232,10782,382
40234,10784,392
40236,10786,487
40238,10787,752
40240,10789,260
40242,10791,393
40244,10793,397
40246,10795,622
40248,10800,423
40250,10801,441
40252,10804,86
40254,10806,184
40256,10807,194
40258,10808,195
40260,10809,1081
40262,10850,1294
40264,10887,1242
40266,10918,1200
40268,10922,1240
40270,10924,748
40272,10927,724
40274,10932,692
40276,10948,740
40278,11098,686
40280,11139,1225
40282,11158,1225
40284,11168,684
40286,11170,188
40288,11176,1283
40290,11178,1284
40292,11179,57
40294,11182,1427
40296,11186,769
40298,11191,538
40300,11193,1277
40302,11195,1245
40304,11197,1231
40306,11200,718
40308,11202,1182
40310,11268,423
40312,11292,423
40314,11305,1295
40316,11308,128
40318,11312,1206
40320,11313,1206
40322,11316,720
40324,11318,1217
40326,11320,1265
40328,11322,1269
40330,11326,1309
40332,11327,1241
40334,11330,1194
40336,11334,160
40338,11337,667
40340,11339,1280
40342,11341,1280
40344,11342,1249
40346,11345,1249
40348,11419,187
40350,11422,135
40352,11425,187
40354,11427,1169
40356,11428,1081
40358,11467,669
40360,11479,711
40362,11495,1241
40364,11507,1202
40366,11512,1279
40368,11577,1227
40370,11611,769
40372,11613,1421
40374,11625,449
40376,11626,751
40378,11629,1169
40380,11630,629
40382,11631,1277
40384,11633,759
40386,11648,1250
40388,11659,1261
40390,11661,1261
40392,11663,169
40394,11664,657
40396,11666,77
40398,11668,204
40400,11673,1197
40402,11678,1251
40404,11693,1286
40406,11694,627
40408,11700,1286
40410,11701,1307
40412,11714,1262
40414,11716,1262
40416,11718,638
40418,11724,731
40420,11726,565
40422,11728,205
40424,11731,855
40426,11737,1215
40428,11746,729
40430,11749,729
40432,11750,1222
40434,11751,1222
40436,11755,829
40438,11758,1282
40440,11761,1271
40442,11764,1243
40444,11766,855
40446,11781,1211
40448,11790,1351
40450,11802,638
40452,11805,107
40454,11808,1290
40456,11809,722
40458,11812,1426
40460,11813,1244
40462,11820,1154
40464,11833,1227
40466,11834,1322
40468,11840,691
40470,11844,793
40472,11849,691
40474,11860,1296
40476,11861,800
40478,11863,150
40480,11867,225
40482,11870,779
40484,11872,1435
40486,11877,1430
40488,11889,598
40490,11892,1308
40492,11895,753
40494,11901,200
40496,11903,1285
40498,11906,1279
40500,11907,155
40502,11911,1309
40504,11917,158
40506,11918,3
40508,11920,668
40510,11922,1293
40512,11924,824
40514,11927,853
40516,11929,1072
40518,11931,695
40520,11936,1299
40522,11939,1292
40524,11941,1292
40526,11948,1253
40528,11951,1253
40530,11954,999
40532,11962,179
40534,11968,727
40536,11970,830
40538,11972,1281
40540,11973,830
40542,11978,832
40544,11979,835
40546,11987,782
40548,11991,231
40550,12010,727
40552,12013,214
40554,12029,1350
40556,12032,16
40558,12033,1275
40560,12071,1321
40562,12083,1385
40564,12094,1321
40566,12105,502
40568,12107,1074
40570,12110,1304
40572,12111,1304
40574,12118,1268
40576,12120,1268
40578,12210,845
40580,12214,717
40582,12215,547
40584,12218,1387
40586,12221,1251
40588,12223,195
40590,12225,195
40592,12276,792
40594,12279,1420
40596,12283,498
40598,12297,792
40600,12311,835
40602,12316,1377
40604,12318,1385
40606,12321,818
40608,12323,1337
40610,12324,543
40612,12325,860
40614,12361,813
40616,12362,294
40618,12363,850
40620,12367,760
40622,12372,768
40624,12374,867
49381,21294,1380
40628,12925,1380
40630,12931,1311
40632,12934,916
40634,12936,1326
40636,12937,1267
40638,12938,916
40640,12941,747
40642,12944,1267
40644,12955,856
40648,12962,1337
40650,12965,422
40652,12991,1301
40654,12993,1300
40656,12994,836
40658,12999,1301
40660,13001,575
40662,13005,1341
40664,13011,861
40666,13013,778
40670,13065,249
40672,13066,839
40674,13068,1371
40676,13070,1379
40678,13073,906
40680,13075,696
40682,13076,889
40684,13078,887
40686,13081,1326
40688,13088,891
40690,13089,276
40692,13091,273
40694,13092,291
40696,13100,1260
40698,13102,1226
40700,13106,790
40702,13107,222
40704,13109,1384
40706,13114,754
40708,13116,796
40710,13118,886
40712,13122,1256
40714,13125,256
40716,13127,331
40718,13131,784
40720,13134,331
40722,13152,786
40724,13155,1352
40726,13164,296
40728,13176,1318
40732,13189,1293
40734,13196,963
40736,13197,289
40738,13198,771
40740,13202,963
40742,13206,1346
40744,13208,1256
40746,13209,1330
40748,13215,505
40750,13225,814
40752,13243,1246
49376,17883,851
40756,13248,505
40758,13249,928
40760,13252,1339
40762,13253,771
40764,13258,928
40766,13279,1288
40768,13281,15
40770,13283,15
40772,13289,293
40774,13293,269
40776,13295,954
40778,13298,1117
40780,13299,886
40782,13301,923
40784,13303,922
40786,13304,285
40788,13305,1203
40790,13310,922
40792,13314,1393
40794,13322,921
40796,13324,851
40798,13360,549
40800,13371,863
40802,13376,324
40804,13381,954
40806,13383,934
40808,13385,1373
40810,13387,987
40812,13393,326
40814,13394,311
40816,13397,681
40818,13400,896
40820,13402,1382
40822,13405,1256
40824,13407,928
40826,13410,1343
40828,13413,344
40830,13419,985
49372,16468,299
40834,13425,938
40836,13427,926
40838,13430,926
40840,13432,1057
40842,13435,22
40844,13443,1389
40846,13446,1389
40848,13450,240
40850,13453,919
40852,13458,1204
40854,13461,376
40856,13463,376
40858,13466,1387
40860,13469,214
40862,13473,873
40864,13476,825
40866,13479,844
40868,13480,844
40870,13488,803
40872,13494,7
40874,13497,552
40876,13498,907
40878,13500,388
40880,13502,388
40882,13505,1034
40884,13507,892
40886,13508,1276
40888,13510,930
40890,13512,866
40892,13514,1315
40894,13517,941
40896,13519,1007
40898,13521,956
40900,13525,956
40902,13527,878
40904,13530,361
40906,13547,912
40908,13549,912
49374,21313,874
40914,13558,410
40916,13561,947
40918,13563,920
40920,13569,1276
40922,13572,920
40924,13573,981
40926,13579,485
40928,13581,880
40930,13583,961
40932,13586,1046
40934,13587,702
40936,13590,35
40938,13592,1331
40940,13593,1046
40942,13595,649
40944,13599,752
40946,13602,996
40948,13604,1123
40950,13607,969
40952,13613,324
40954,13616,41
40956,13617,1062
40958,13621,852
40960,13625,945
40962,13628,292
40964,13632,434
40966,13633,932
40968,13638,551
40970,13643,996
40972,13645,1063
40974,13648,351
40976,13650,1402
40978,13662,951
40980,13665,952
40982,13666,865
40984,13668,424
40986,13669,1195
40988,13674,35
40990,13675,258
40992,13679,982
40994,13682,1045
40996,13685,408
40998,13690,307
41000,13692,1035
41002,13693,30
41004,13696,30
41006,13698,190
41008,13700,190
41010,13704,969
41012,13705,31
41014,13707,1031
41016,13709,31
41018,13712,389
41020,13717,726
41022,13719,378
41024,13721,307
41026,13729,1030
41028,13731,1004
41030,13733,915
41032,13739,1398
41034,13742,472
41036,13747,874
41038,13750,1027
41040,13752,1035
41042,13754,869
41044,13756,843
41046,13758,1397
41048,13762,6
41050,13764,909
41052,13766,995
41054,13770,464
